OFFSET,TOKEN,LEMMA,UPOS,XPOS,MORPH,HEAD,DEPREL,,,SMWE,,LEXLEMMA,SS,SS2
10,gefragt,gefragt,VVPP,VVPP,_,6,conj,_,_,_,_,_,_,_
11,",",",","$,","$,",_,6,punct,_,_,_,_,_,_,_
12,ob,ob,KOUS,KOUS,_,17,mark,_,_,_,_,_,_,_
13,sie,sie,PPER,PPER,_,17,nsubj,_,_,_,_,_,_,_
14,vor,vor,APPR,APPR,_,16,case,_,_,_,_,vor,p.Stimulus,p.Source
15,meiner,meiner,PPOSAT,PPOSAT,_,16,det,_,_,_,_,meiner,p.Originator,p.Gestalt
16,Zeichnung,zeichnung,NOUN,NN,Number=Sing,17,nmod,_,_,_,_,_,_,_
17,Angst,angst,NOUN,NN,Number=Sing,6,ccomp,_,_,_,_,_,_,_
18,hätten,hätten,VAFIN,VAFIN,_,17,aux,_,_,_,_,_,_,_
19,:,:,$.,$.,_,6,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Sie haben mir geantwortet : `` Warum sollte man vor einem Hut Angst haben ? '',,,,,,,,,,,,,,
1,Sie,sie,PPER,PPER,_,4,nsubj,_,_,_,_,_,_,_
2,haben,haben,VAFIN,VAFIN,_,4,aux,_,_,_,_,_,_,_
3,mir,mir,PPER,PPER,_,4,iobj,_,_,_,_,mir,p.Stimulus,p.Recipient
4,geantwortet,geantwortet,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
5,:,:,$.,$.,_,4,punct,_,_,_,_,_,_,_
6,``,``,ADV,ADV,_,7,punct,_,_,_,_,_,_,_
7,Warum,warum,PWAV,PWAV,_,13,mark,_,_,_,_,_,_,_
8,sollte,sollte,VMFIN,VMFIN,_,13,aux,_,_,_,_,_,_,_
9,man,man,PIS,PIS,_,13,nsubj,_,_,_,_,_,_,_
10,vor,vor,APPR,APPR,_,12,case,_,_,_,_,vor,p.Stimulus,p.Source
11,einem,einem,ART,ART,_,12,det,_,_,_,_,_,_,_
12,Hut,hut,NOUN,NN,Number=Sing,13,nmod,_,_,_,_,_,_,_
13,Angst,angst,NOUN,NN,Number=Sing,4,ccomp,_,_,_,_,_,_,_
14,haben,haben,VAINF,VAINF,_,13,aux,_,_,_,_,_,_,_
15,?,?,$.,$.,_,4,punct,_,_,_,_,_,_,_
16,'','',VVPP,VVPP,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Dabei war auf meinem Bild gar kein Hut .,,,,,,,,,,,,,,
1,Dabei,dabei,PROAV,PROAV,_,8,advmod,_,_,_,_,dabei,p.ComparisonRef,p.ComparisonRef
2,war,war,VAFIN,VAFIN,_,8,cop,_,_,_,_,_,_,_
3,auf,auf,APPR,APPR,_,5,case,_,_,_,_,auf,p.Locus,p.Locus
4,meinem,meinem,PPOSAT,PPOSAT,_,5,det,_,_,_,_,meinem,p.Originator,p.Gestalt
5,Bild,bild,NOUN,NN,Number=Sing,8,nmod,_,_,_,_,_,_,_
6,gar,gar,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
7,kein,kein,PIAT,PIAT,_,8,neg,_,_,_,_,_,_,_
8,Hut,hut,NOUN,NN,Number=Sing,0,root,_,_,_,_,_,_,_
9,.,.,$.,$.,_,8,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Es zeigte eine Riesenschlange , die einen Elefanten verdaut .",,,,,,,,,,,,,,
1,Es,es,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,zeigte,zeigte,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,eine,eine,ART,ART,_,4,det,_,_,_,_,_,_,_
4,Riesenschlange,riesenschlange,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
5,",",",","$,","$,",_,4,punct,_,_,_,_,_,_,_
6,die,die,PRELS,PRELS,_,9,nsubj,_,_,_,_,_,_,_
7,einen,einen,ART,ART,_,8,det,_,_,_,_,_,_,_
8,Elefanten,elefanten,NOUN,NN,Number=Sing,9,dobj,_,_,_,_,_,_,_
9,verdaut,verdaut,VVFIN,VVFIN,_,4,acl,_,_,_,_,_,_,_
10,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = So habe ich also das Innere der Schlage gezeichnet , um es den Großen verständlich zu machen .",,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,9,advmod,_,_,_,_,_,_,_
2,habe,habe,VAFIN,VAFIN,_,9,aux,_,_,_,_,_,_,_
3,ich,ich,PPER,PPER,_,9,dobj,_,_,_,_,_,_,_
4,also,also,ADV,ADV,_,9,advmod,_,_,_,_,_,_,_
5,das,das,ART,ART,_,6,det,_,_,_,_,_,_,_
6,Innere,innere,NOUN,NN,Number=Sing,9,nsubj,_,_,_,_,_,_,_
7,der,der,ART,ART,_,9,nsubj,_,_,_,_,_,_,_
8,Schlage,schlage,NOUN,NN,Number=Sing,9,dobj,_,_,_,_,_,_,_
9,gezeichnet,gezeichnet,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
10,",",",","$,","$,",_,9,punct,_,_,_,_,_,_,_
11,um,um,KOUI,KOUI,_,17,mark,_,_,1:1,_,um zu,p.Purpose,p.Purpose
12,es,es,PPER,PPER,_,17,dobj,_,_,_,_,_,_,_
13,den,den,ART,ART,_,15,det,_,_,_,_,_,_,_
14,Großen,großen,NOUN,NN,Number=Sing,15,amod,_,_,_,_,_,_,_
15,verständlich,verständlich,ADJD,ADJD,_,17,dobj,_,_,_,_,_,_,_
16,zu,zu,PTKZU,PTKZU,_,17,aux,_,_,1:2,_,_,_,_
17,machen,machen,VVINF,VVINF,_,9,advcl,_,_,_,_,_,_,_
18,.,.,$.,$.,_,9,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Immer muss man ihnen alles erklären .,,,,,,,,,,,,,,
1,Immer,immer,ADV,ADV,_,6,advmod,_,_,_,_,_,_,_
2,muss,muss,VVFIN,VVFIN,_,6,aux,_,_,_,_,_,_,_
3,man,man,PIS,PIS,_,6,nsubj,_,_,_,_,_,_,_
4,ihnen,ihnen,PPER,PPER,_,6,iobj,_,_,_,_,ihnen,p.Stimulus,p.Goal
5,alles,alles,PIS,PIS,_,6,dobj,_,_,_,_,_,_,_
6,erklären,erklären,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
7,.,.,$.,$.,_,6,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Meine Zeichnung Nr. 2 sah so aus :,,,,,,,,,,,,,,
1,Meine,meine,PPOSAT,PPOSAT,_,2,det,_,_,_,_,meine,p.Originator,p.Gestalt
2,Zeichnung,zeichnung,NOUN,NN,Number=Sing,3,nsubj,_,_,_,_,_,_,_
3,Nr.,nr.,NOUN,NN,Number=Sing,5,nsubj,_,_,_,_,_,_,_
4,2,2,CARD,CARD,_,3,nmod,_,_,_,_,_,_,_
5,sah,sah,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
6,so,so,ADV,ADV,_,5,advmod,_,_,_,_,_,_,_
7,aus,aus,PTKVZ,PTKVZ,_,5,mark,_,_,_,_,aus,p.Stimulus,p.Direction
8,:,:,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Die Erwachsenen haben mir geraten , mich nicht mehr mit offenen oder geschlossenen Riesenschlangen zu beschäftigen , sondern mich stattdessen mehr für Geografie , Geschichte , Mathe und Grammatik zu interessieren .",,,,,,,,,,,,,,
1,Die,die,ART,ART,_,2,det,_,_,_,_,_,_,_
2,Erwachsenen,erwachsenen,NOUN,NN,Number=Sing,5,nsubj,_,_,_,_,_,_,_
3,haben,haben,VAFIN,VAFIN,_,5,aux,_,_,_,_,_,_,_
4,mir,mir,PPER,PPER,_,5,iobj,_,_,_,_,mir,p.Stimulus,p.Recipient
5,geraten,geraten,VVPP,VVPP,_,0,root,_,_,_,_,_,_,_
6,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
7,mich,mich,PRF,PRF,_,16,dobj,_,_,_,_,_,_,_
8,nicht,nicht,PTKNEG,PTKNEG,_,9,neg,_,_,_,_,_,_,_
9,mehr,mehr,ADV,ADV,_,16,advmod,_,_,_,_,_,_,_
10,mit,mit,APPR,APPR,_,14,case,_,_,_,_,mit,p.Topic,p.Topic
11,offenen,offenen,ADJA,ADJA,_,14,amod,_,_,_,_,_,_,_
12,oder,oder,KON,KON,_,11,cc,_,_,_,_,_,_,_
13,geschlossenen,geschlossenen,ADJA,ADJA,_,11,conj,_,_,_,_,_,_,_
14,Riesenschlangen,riesenschlangen,NOUN,NN,Number=Sing,16,nmod,_,_,_,_,_,_,_
15,zu,zu,PTKZU,PTKZU,_,16,aux,_,_,_,_,_,_,_
16,beschäftigen,beschäftigen,VVINF,VVINF,_,5,xcomp,_,_,_,_,_,_,_
17,",",",","$,","$,",_,5,punct,_,_,_,_,_,_,_
18,sondern,sondern,KON,KON,_,5,cc,_,_,_,_,_,_,_
19,mich,mich,PRF,PRF,_,31,dobj,_,_,_,_,_,_,_
20,stattdessen,stattdessen,PROAV,PROAV,_,31,advmod,_,_,_,_,stattdessen,p.InsteadOf,p.InsteadOf
21,mehr,mehr,ADV,ADV,_,23,advmod,_,_,_,_,_,_,_
22,für,für,APPR,APPR,_,23,case,_,_,_,_,für,p.Topic,p.Topic
23,Geografie,geografie,NOUN,NN,Number=Sing,31,nmod,_,_,_,_,_,_,_
24,",",",","$,","$,",_,23,punct,_,_,_,_,_,_,_
25,Geschichte,geschichte,NOUN,NN,Number=Sing,23,conj,_,_,_,_,_,_,_
26,",",",","$,","$,",_,23,punct,_,_,_,_,_,_,_
27,Mathe,mathe,TRUNC,TRUNC,_,23,conj,_,_,_,_,_,_,_
28,und,und,KON,KON,_,23,cc,_,_,_,_,_,_,_
29,Grammatik,grammatik,NOUN,NN,Number=Sing,23,conj,_,_,_,_,_,_,_
30,zu,zu,PTKZU,PTKZU,_,31,aux,_,_,_,_,_,_,_
31,interessieren,interessieren,VVINF,VVINF,_,5,conj,_,_,_,_,_,_,_
32,.,.,$.,$.,_,5,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = So gab ich mit sechs Jahren meine vielversprechende Malerkarriere auf .,,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,gab,gab,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
4,mit,mit,APPR,APPR,_,6,case,_,_,_,_,mit,p.Time,p.Time
5,sechs,sechs,CARD,CARD,_,6,nummod,_,_,_,_,_,_,_
6,Jahren,jahren,NOUN,NN,Number=Sing,2,nmod,_,_,_,_,_,_,_
7,meine,meine,PPOSAT,PPOSAT,_,9,det,_,_,_,_,meine,p.Originator,p.Gestalt
8,vielversprechende,vielversprechende,ADJA,ADJA,_,9,amod,_,_,_,_,_,_,_
9,Malerkarriere,malerkarriere,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
10,auf,auf,PTKVZ,PTKVZ,_,2,mark,_,_,_,_,_,_,_
11,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Derart entmutigt war ich von dem Misserfolg meiner Zeichnungen Nr. 1 und Nr. 2 .,,,,,,,,,,,,,,
1,Derart,derart,ADV,ADV,_,2,advmod,_,_,_,_,_,_,_
2,entmutigt,entmutigt,ADJD,ADJD,_,0,root,_,_,_,_,_,_,_
3,war,war,VAFIN,VAFIN,_,2,nsubj,_,_,_,_,_,_,_
4,ich,ich,PPER,PPER,_,3,neg,_,_,_,_,_,_,_
5,von,von,APPR,APPR,_,7,case,_,_,_,_,von,p.Theme,p.Source
6,dem,dem,ART,ART,_,7,det,_,_,_,_,_,_,_
7,Misserfolg,misserfolg,NOUN,NN,Number=Sing,4,nmod,_,_,_,_,_,_,_
8,meiner,meiner,PPOSAT,PPOSAT,_,9,det,_,_,_,_,meiner,p.Originator,p.Gestalt
9,Zeichnungen,zeichnungen,NOUN,NN,Number=Sing,7,det,_,_,_,_,_,_,_
10,Nr.,nr.,NOUN,NN,Number=Sing,9,appos,_,_,_,_,_,_,_
11,1,1,CARD,CARD,_,10,appos,_,_,_,_,_,_,_
12,und,und,KON,KON,_,9,cc,_,_,_,_,_,_,_
13,Nr.,nr.,NOUN,NN,Number=Sing,9,conj,_,_,_,_,_,_,_
14,2,2,CARD,CARD,_,13,appos,_,_,_,_,_,_,_
15,.,.,$.,$.,_,4,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = Erwachsene verstehen nie etwas von ganz allein , und für die Kinder ist es anstrengend , ihnen immer alles zu erklären .",,,,,,,,,,,,,,
1,Erwachsene,erwachsene,NOUN,NN,Number=Sing,2,nsubj,_,_,_,_,_,_,_
2,verstehen,verstehen,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,nie,nie,ADV,ADV,_,4,neg,_,_,_,_,_,_,_
4,etwas,etwas,PIS,PIS,_,2,dobj,_,_,_,_,_,_,_
5,von,von,APPR,APPR,_,7,case,_,_,_,_,von,p.Originator,p.Agent
6,ganz,ganz,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
7,allein,allein,ADV,ADV,_,4,nmod,_,_,_,_,_,_,_
8,",",",","$,","$,",_,7,punct,_,_,_,_,_,_,_
9,und,und,KON,KON,_,7,cc,_,_,_,_,_,_,_
10,für,für,APPR,APPR,_,12,case,_,_,_,_,für,p.Purpose,p.Purpose
11,die,die,ART,ART,_,12,det,_,_,_,_,_,_,_
12,Kinder,kinder,NOUN,NN,Number=Sing,7,conj,_,_,_,_,_,_,_
13,ist,ist,VAFIN,VAFIN,_,15,cop,_,_,_,_,_,_,_
14,es,es,PPER,PPER,_,15,nsubj,_,_,_,_,_,_,_
15,anstrengend,anstrengend,ADJD,ADJD,_,2,acl,_,_,_,_,_,_,_
16,",",",","$,","$,",_,15,punct,_,_,_,_,_,_,_
17,ihnen,ihnen,PPER,PPER,_,21,iobj,_,_,_,_,ihnen,p.Stimulus,p.Goal
18,immer,immer,ADV,ADV,_,19,advmod,_,_,_,_,_,_,_
19,alles,alles,PIS,PIS,_,21,dobj,_,_,_,_,_,_,_
20,zu,zu,PTKZU,PTKZU,_,21,aux,_,_,_,_,_,_,_
21,erklären,erklären,VVINF,VVINF,_,15,xcomp,_,_,_,_,_,_,_
22,.,.,$.,$.,_,2,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
"# text = So musste ich einen anderen Beruf finden und ich lernte , Flugzeuge zu steuern .",,,,,,,,,,,,,,
1,So,so,ADV,ADV,_,7,advmod,_,_,_,_,_,_,_
2,musste,musste,VVFIN,VVFIN,_,7,aux,_,_,_,_,_,_,_
3,ich,ich,PPER,PPER,_,7,nsubj,_,_,_,_,_,_,_
4,einen,einen,ART,ART,_,6,det,_,_,_,_,_,_,_
5,anderen,anderen,ADJA,ADJA,_,6,amod,_,_,_,_,_,_,_
6,Beruf,beruf,NOUN,NN,Number=Sing,7,dobj,_,_,_,_,_,_,_
7,finden,finden,VVINF,VVINF,_,0,root,_,_,_,_,_,_,_
8,und,und,KON,KON,_,7,cc,_,_,_,_,_,_,_
9,ich,ich,PPER,PPER,_,10,nsubj,_,_,_,_,_,_,_
10,lernte,lernte,VVFIN,VVFIN,_,7,conj,_,_,_,_,_,_,_
11,",",",","$,","$,",_,10,punct,_,_,_,_,_,_,_
12,Flugzeuge,flugzeuge,NOUN,NN,Number=Sing,14,dobj,_,_,_,_,_,_,_
13,zu,zu,PTKZU,PTKZU,_,14,aux,_,_,_,_,_,_,_
14,steuern,steuern,VVINF,VVINF,_,10,xcomp,_,_,_,_,_,_,_
15,.,.,$.,$.,_,7,punct,_,_,_,_,_,_,_
,,,,,,,,,,,,,,
# text = Ich flog ein bisschen in der Welt herum .,,,,,,,,,,,,,,
1,Ich,ich,PPER,PPER,_,2,nsubj,_,_,_,_,_,_,_
2,flog,flog,VVFIN,VVFIN,_,0,root,_,_,_,_,_,_,_
3,ein,ein,ART,ART,_,4,det,_,_,_,_,_,_,_
4,bisschen,bisschen,NOUN,NN,Number=Sing,2,dobj,_,_,_,_,_,_,_
5,in,in,APPR,APPR,_,7,case,_,_,_,_,in,p.Locus,p.Direction
